TTCN,IMM_major_product_group,IMM_product_summary
44079139,Wood,Sawn: other hardwood
44079190,Wood,Sawn: other hardwood
44079200,Wood,Sawn: other hardwood
44079310,Wood,Sawn: other hardwood
44079391,Wood,Sawn: other hardwood
44079399,Wood,Sawn: other hardwood
44079410,Wood,Sawn: other hardwood
44079491,Wood,Sawn: other hardwood
44079499,Wood,Sawn: other hardwood
44079510,Wood,Sawn: other hardwood
44079591,Wood,Sawn: other hardwood
44079599,Wood,Sawn: other hardwood
44079910,Wood,Sawn: other hardwood
44079920,Wood,Sawn: other hardwood
44079925,Wood,Sawn: other hardwood
44079927,Wood,Sawn: other hardwood
44079930,Wood,Sawn: other hardwood
44079940,Wood,Sawn: other hardwood
44079950,Wood,Sawn: other hardwood
44079991,Wood,Sawn: other hardwood
44079994,Wood,Sawn: other hardwood
44079996,Wood,Sawn: other hardwood
44079997,Wood,Sawn: other hardwood
44079998,Wood,Sawn: other hardwood
44081015,Wood,Veneer: softwood
44081091,Wood,Veneer: softwood
44081093,Wood,Veneer: softwood
44081098,Wood,Veneer: softwood
44081099,Wood,Veneer: softwood
44083111,Wood,Veneer: tropical hardwood
44083121,Wood,Veneer: tropical hardwood
44083125,Wood,Veneer: tropical hardwood
44083130,Wood,Veneer: tropical hardwood
44083915,Wood,Veneer: tropical hardwood
44083921,Wood,Veneer: tropical hardwood
44083930,Wood,Veneer: tropical hardwood
44083931,Wood,Veneer: tropical hardwood
44083935,Wood,Veneer: tropical hardwood
44083955,Wood,Veneer: tropical hardwood
44083970,Wood,Veneer: tropical hardwood
44083980,Wood,Veneer: tropical hardwood
44083985,Wood,Veneer: tropical hardwood
44083990,Wood,Veneer: tropical hardwood
44083995,Wood,Veneer: tropical hardwood
44089015,Wood,Veneer: other hardwood
44089035,Wood,Veneer: other hardwood
44089081,Wood,Veneer: other hardwood
44089085,Wood,Veneer: other hardwood
44089089,Wood,Veneer: other hardwood
44089095,Wood,Veneer: other hardwood
44091011,Wood,Shaped wood: softwood
44091018,Wood,Shaped wood: softwood
44092011,Wood,Shaped wood: hardwood
44092091,Wood,BJC: Flooring
44092098,Wood,Shaped wood: hardwood
44092100,Bamboo,Bamboo products
44092910,Wood,Shaped wood: hardwood
44092991,Wood,BJC: Flooring
44092999,Wood,Shaped wood: hardwood
44101110,Wood,Particle Board
44101130,Wood,Particle Board
44101150,Wood,Particle Board
44101190,Wood,Particle Board
44101210,Wood,Particle Board
44101290,Wood,Particle Board
44101900,Wood,Particle Board
44101910,Wood,Particle Board
44101930,Wood,Particle Board
44101950,Wood,Particle Board
44101990,Wood,Particle Board
44102100,Wood,Particle Board
44102900,Wood,Particle Board
44103100,Wood,Particle Board
44103200,Wood,Particle Board
44103300,Wood,Particle Board
44103900,Wood,Particle Board
44109000,Wood,Particle Board
44111110,Wood,Fibreboard
44111190,Wood,Fibreboard
44111210,Wood,Fibreboard
44111290,Wood,Fibreboard
44111310,Wood,Fibreboard
44111390,Wood,Fibreboard
44111410,Wood,Fibreboard
44111490,Wood,Fibreboard
44111910,Wood,Fibreboard
44111990,Wood,Fibreboard
44112110,Wood,Fibreboard
44112190,Wood,Fibreboard
44112910,Wood,Fibreboard
44112990,Wood,Fibreboard
44113110,Wood,Fibreboard
44113190,Wood,Fibreboard
44113910,Wood,Fibreboard
44113990,Wood,Fibreboard
44119100,Wood,Fibreboard
44119210,Wood,Fibreboard
44119290,Wood,Fibreboard
44119310,Wood,Fibreboard
44119390,Wood,Fibreboard
44119410,Wood,Fibreboard
44119490,Wood,Fibreboard
44119900,Wood,Fibreboard
44121000,Bamboo,Bamboo products
44121310,Wood,Plywood: tropical hardwood
44121390,Wood,Plywood: tropical hardwood
44121400,Wood,Plywood: other hardwood
44121900,Wood,Plywood: softwood
44122210,Wood,Plywood: tropical hardwood
44122291,Wood,Plywood: blockboard and similar
44122299,Wood,Plywood: tropical hardwood
